track_name,artist,album,release_date,duration_ms,popularity,spotify_url
Enchanted (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),2023-07-07,353253,78,https://open.spotify.com/track/3sW3oSbzsfecv9XoUdGs7h
Better Than Revenge (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),2023-07-07,220306,69,https://open.spotify.com/track/0NwGC0v03ysCYINtg6ns58
Innocent (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),2023-07-07,301221,62,https://open.spotify.com/track/12nBPF4Rh4XLFJV0YLN7uj
Haunted (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),2023-07-07,245413,68,https://open.spotify.com/track/4tMzIAFTFdqGBQLdfbPces
Last Kiss (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),2023-07-07,369120,68,https://open.spotify.com/track/59KOoHFcw5XfICnO57holu
Long Live (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),2023-07-07,317960,71,https://open.spotify.com/track/4hqJ4bSlYJOXb6Z4SRmzxs
Ours (Taylor’s Version),Taylor Swift,Speak Now (Taylor's Version),2023-07-07,235803,64,https://open.spotify.com/track/3yNJkriPzWjkkDAWHIAVUq
Superman (Taylor’s Version),Taylor Swift,Speak Now (Taylor's Version),2023-07-07,274945,61,https://open.spotify.com/track/4evLyY5Ue1Wesc61t2KXAU
Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),Taylor Swift,Speak Now (Taylor's Version),2023-07-07,266466,66,https://open.spotify.com/track/4e3ZNTAV6PCrdYMUrUlMpQ
When Emma Falls in Love (Taylor’s Version) (From The Vault),Taylor Swift,Speak Now (Taylor's Version),2023-07-07,252385,65,https://open.spotify.com/track/0zo975x58DlXbZllWvfYhg
I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,Speak Now (Taylor's Version),2023-07-07,273186,72,https://open.spotify.com/track/5kHMfzgLZP95O9NBy0ku4v
Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),Taylor Swift,Speak Now (Taylor's Version),2023-07-07,306062,66,https://open.spotify.com/track/4ABYxlb92WBIjHu7TIKmml
Foolish One (Taylor’s Version) (From The Vault),Taylor Swift,Speak Now (Taylor's Version),2023-07-07,311765,67,https://open.spotify.com/track/4s8BIKx4Zh6ryAEz8RTlaU
Timeless (Taylor’s Version) (From The Vault),Taylor Swift,Speak Now (Taylor's Version),2023-07-07,321396,67,https://open.spotify.com/track/1HCdems7PQZRj42QDWLA0A
You’re Losing Me (From The Vault),Taylor Swift,You're Losing Me (From The Vault),2023-11-29,277831,76,https://open.spotify.com/track/3CWq0pAKKTWb0K4yiglDc4
Karma (feat. Ice Spice),Taylor Swift,Midnights (The Til Dawn Edition),2023-05-26,201493,62,https://open.spotify.com/track/4i6cwNY6oIUU2XZxPIw82Y
Hits Different,Taylor Swift,Midnights (The Til Dawn Edition),2023-05-26,234466,72,https://open.spotify.com/track/3xYJScVfxByb61dYHTwiby
Snow On The Beach (feat. More Lana Del Rey),Taylor Swift,Midnights (The Til Dawn Edition),2023-05-26,229942,72,https://open.spotify.com/track/4zmKGsrXjLmljb5fTaBTot
Karma,Taylor Swift,Midnights,2022-10-21,204852,76,https://open.spotify.com/track/7KokYm8cMIXCsGVmUvKtqf
Lavender Haze,Taylor Swift,Midnights,2022-10-21,202395,74,https://open.spotify.com/track/5jQI2r1RdgtuT8S3iG8zFC
All Of The Girls You Loved Before,Taylor Swift,All Of The Girls You Loved Before,2019-08-23,221407,74,https://open.spotify.com/track/4P9Q0GojKVXpRTJCaL3kyy
Safe & Sound (feat. Joy Williams and John Paul White) (Taylor’s Version),Taylor Swift,Safe & Sound (Taylor's Version),2021-11-12,239668,64,https://open.spotify.com/track/2RJnNdu4pb3MypbBroHU0T
Anti-Hero,Taylor Swift,Midnights,2022-10-21,200690,82,https://open.spotify.com/track/0V3wPSX9ygBnCm8psDIegu
Lavender Haze - Acoustic Version,Taylor Swift,Lavender Haze (Acoustic Version),2023-03-31,174375,56,https://open.spotify.com/track/05kJkr80XEaZeN8kxyQoFp
Eyes Open (Taylor's Version),Taylor Swift,Eyes Open (Taylor's Version),2021-11-12,243264,59,https://open.spotify.com/track/2NIBaWXdjaTDmytjjwbEfP
If This Was A Movie (Taylor’s Version),Taylor Swift,If This Was A Movie (Taylor’s Version),2021-04-09,237022,63,https://open.spotify.com/track/0kAZ3H6G9Zac4PMpmobMkj
Lavender Haze - Snakehips Remix,Taylor Swift,Lavender Haze (Remixes),2023-03-03,187510,51,https://open.spotify.com/track/6F67FNdOBNMFzxdj1CQ5pL
Lavender Haze - Tensnake Remix,Taylor Swift,Lavender Haze (Remixes),2023-03-03,214966,41,https://open.spotify.com/track/7kjSmkSo15pHlkb0mOQtfj
Lavender Haze - Jungle Remix,Taylor Swift,Lavender Haze (Remixes),2023-03-03,235932,38,https://open.spotify.com/track/0ThxqUZ9PwS6n0UT5i1XH6
Lavender Haze - Felix Jaehn Remix,Taylor Swift,Lavender Haze (Remixes),2023-03-03,171562,41,https://open.spotify.com/track/5KxZfCXXmVvKhPo8hQz2pS
Lavender Haze,Taylor Swift,Lavender Haze (Remixes),2023-03-03,202395,40,https://open.spotify.com/track/5NlYplrGsjUDFZ6x3HeVyT
Lavender Haze - Felix Jaehn Remix,Taylor Swift,Lavender Haze (Felix Jaehn Remix),2023-02-10,171562,49,https://open.spotify.com/track/2M4tVhRXucLE9M3STv21Yi
Anti-Hero - ILLENIUM Remix,Taylor Swift,Anti-Hero (ILLENIUM Remix),2022-11-18,267960,51,https://open.spotify.com/track/6C0H8ts9M6deezz0yYR6LK
